Country Name,Country Code,Continent,Year,Birth Rate,Death Rate
Burundi,BDI,Africa,2018,37.011,7.648
Burundi,BDI,Africa,2019,36.323,7.352
Burundi,BDI,Africa,2020,35.603,7.562
Burundi,BDI,Africa,2021,34.842,7.474
Comoros,COM,Africa,2018,30.859,8.235
Comoros,COM,Africa,2019,30.4,8.203
Comoros,COM,Africa,2020,29.896,8.274
Comoros,COM,Africa,2021,29.398,8.718
Djibouti,DJI,Africa,2018,22.982,8.347
Djibouti,DJI,Africa,2019,22.748,8.421
Djibouti,DJI,Africa,2020,22.477,8.821
Djibouti,DJI,Africa,2021,22.205,9.147
Eritrea,ERI,Africa,2018,29.105,6.353
Eritrea,ERI,Africa,2019,28.941,6.309
Eritrea,ERI,Africa,2020,28.706,6.424
Eritrea,ERI,Africa,2021,28.624,6.729
Ethiopia,ETH,Africa,2018,32.996,6.569
Ethiopia,ETH,Africa,2019,33.123,6.439
Ethiopia,ETH,Africa,2020,32.78,6.616
Ethiopia,ETH,Africa,2021,32.383,6.776
Kenya,KEN,Africa,2018,29.18,7.305
Kenya,KEN,Africa,2019,28.46,7.29
Kenya,KEN,Africa,2020,27.998,7.456
Kenya,KEN,Africa,2021,27.685,8.056
Madagascar,MDG,Africa,2018,32.088,6.736
Madagascar,MDG,Africa,2019,31.701,6.518
Madagascar,MDG,Africa,2020,31.343,6.801
Madagascar,MDG,Africa,2021,30.949,7.104
Malawi,MWI,Africa,2018,33.925,6.955
Malawi,MWI,Africa,2019,33.598,6.611
Malawi,MWI,Africa,2020,33.233,6.706
Malawi,MWI,Africa,2021,32.859,6.983
Mauritius,MUS,Africa,2018,10.361,8.32
Mauritius,MUS,Africa,2019,10.243,8.399
Mauritius,MUS,Africa,2020,10.37,8.661
Mauritius,MUS,Africa,2021,10.343,9.643
Mozambique,MOZ,Africa,2018,37.753,8.337
Mozambique,MOZ,Africa,2019,37.345,8.04
Mozambique,MOZ,Africa,2020,36.974,8.004
Mozambique,MOZ,Africa,2021,36.598,8.793
Rwanda,RWA,Africa,2018,31.158,6.227
Rwanda,RWA,Africa,2019,30.776,6.137
Rwanda,RWA,Africa,2020,30.309,5.998
Rwanda,RWA,Africa,2021,29.976,6.28
Seychelles,SYC,Africa,2018,16.856,7.108
Seychelles,SYC,Africa,2019,16.348,7.105
Seychelles,SYC,Africa,2020,15.823,7.261
Seychelles,SYC,Africa,2021,15.433,8.973
Somalia,SOM,Africa,2018,44.992,11.444
Somalia,SOM,Africa,2019,44.564,11.041
Somalia,SOM,Africa,2020,44.007,11.39
Somalia,SOM,Africa,2021,43.561,11.596
S. Sudan,SSD,Africa,2018,30.147,10.584
S. Sudan,SSD,Africa,2019,29.058,10.531
S. Sudan,SSD,Africa,2020,29.166,10.759
S. Sudan,SSD,Africa,2021,29.107,11.05
Uganda,UGA,Africa,2018,38.062,5.939
Uganda,UGA,Africa,2019,37.667,5.823
Uganda,UGA,Africa,2020,37.252,5.852
Uganda,UGA,Africa,2021,36.795,5.877
Tanzania,TZA,Africa,2018,37.525,6.177
Tanzania,TZA,Africa,2019,37.113,6.012
Tanzania,TZA,Africa,2020,36.651,6.179
Tanzania,TZA,Africa,2021,36.21,6.222
Zambia,ZMB,Africa,2018,36.04,6.748
Zambia,ZMB,Africa,2019,35.462,6.571
Zambia,ZMB,Africa,2020,34.953,6.602
Zambia,ZMB,Africa,2021,34.511,6.973
Zimbabwe,ZWE,Africa,2018,32.074,7.972
Zimbabwe,ZWE,Africa,2019,31.518,8.043
Zimbabwe,ZWE,Africa,2020,31.009,8.132
Zimbabwe,ZWE,Africa,2021,30.537,9.057
Angola,AGO,Africa,2018,40.236,7.99
Angola,AGO,Africa,2019,39.725,7.811
Angola,AGO,Africa,2020,39.271,7.821
Angola,AGO,Africa,2021,38.809,8.009
Cameroon,CMR,Africa,2018,36.716,8.379
Cameroon,CMR,Africa,2019,36.147,8.16
Cameroon,CMR,Africa,2020,35.507,8.419
Cameroon,CMR,Africa,2021,34.938,8.582
Central African Republic,CAF,Africa,2018,41.831,11.23
Central African Republic,CAF,Africa,2019,41.92,10.873
Central African Republic,CAF,Africa,2020,42.175,11.041
Central African Republic,CAF,Africa,2021,42.68,11.393
Chad,TCD,Africa,2018,44.37,12.671
Chad,TCD,Africa,2019,44.229,12.369
Chad,TCD,Africa,2020,43.849,12.486
Chad,TCD,Africa,2021,43.357,12.504
Congo,COG,Africa,2018,32.337,6.797
Congo,COG,Africa,2019,31.676,7.388
Congo,COG,Africa,2020,31.155,6.923
Congo,COG,Africa,2021,30.691,7.063
Democratic Republic of the Congo,COD,Africa,2018,42.989,9.573
Democratic Republic of the Congo,COD,Africa,2019,42.656,9.38
Democratic Republic of the Congo,COD,Africa,2020,42.311,9.537
Democratic Republic of the Congo,COD,Africa,2021,42.049,9.7
Equatorial Guinea,GNQ,Africa,2018,32.667,8.85
Equatorial Guinea,GNQ,Africa,2019,31.874,8.582
Equatorial Guinea,GNQ,Africa,2020,31.174,9.026
Equatorial Guinea,GNQ,Africa,2021,30.498,9.042
Gabon,GAB,Africa,2018,29.004,6.986
Gabon,GAB,Africa,2019,28.354,6.856
Gabon,GAB,Africa,2020,27.695,6.909
Gabon,GAB,Africa,2021,27.142,7.258
Sao Tome and Principe,STP,Africa,2018,29.535,5.879
Sao Tome and Principe,STP,Africa,2019,28.917,5.876
Sao Tome and Principe,STP,Africa,2020,28.435,6.294
Sao Tome and Principe,STP,Africa,2021,28.263,6.387
Algeria,DZA,Africa,2018,24.074,4.482
Algeria,DZA,Africa,2019,23.298,4.392
Algeria,DZA,Africa,2020,22.431,5.398
Algeria,DZA,Africa,2021,21.524,4.546
Egypt,EGY,Africa,2018,24.562,5.511
Egypt,EGY,Africa,2019,23.568,5.581
Egypt,EGY,Africa,2020,23.051,5.851
Egypt,EGY,Africa,2021,22.558,6.327
Libya,LBY,Africa,2018,19.282,5.245
Libya,LBY,Africa,2019,18.732,5.454
Libya,LBY,Africa,2020,18.302,5.598
Libya,LBY,Africa,2021,17.828,6.018
Morocco,MAR,Africa,2018,18.813,5.637
Morocco,MAR,Africa,2019,18.337,5.658
Morocco,MAR,Africa,2020,17.889,6.073
Morocco,MAR,Africa,2021,17.545,6.17
Sudan,SDN,Africa,2018,35.236,6.647
Sudan,SDN,Africa,2019,34.823,6.586
Sudan,SDN,Africa,2020,34.226,6.67
Sudan,SDN,Africa,2021,33.596,6.799
Tunisia,TUN,Africa,2018,17.737,6.04
Tunisia,TUN,Africa,2019,17.215,6.145
Tunisia,TUN,Africa,2020,16.628,6.752
Tunisia,TUN,Africa,2021,16.093,7.884
Botswana,BWA,Africa,2018,25.328,6.922
Botswana,BWA,Africa,2019,24.887,6.974
Botswana,BWA,Africa,2020,24.195,6.95
Botswana,BWA,Africa,2021,23.576,9.461
Eswatini,SWZ,Africa,2018,25.718,9.324
Eswatini,SWZ,Africa,2019,25.118,8.923
Eswatini,SWZ,Africa,2020,24.615,9.603
Eswatini,SWZ,Africa,2021,24.134,11.356
Namibia,NAM,Africa,2018,29.008,8.403
Namibia,NAM,Africa,2019,28.433,8.248
Namibia,NAM,Africa,2020,27.876,8.475
Namibia,NAM,Africa,2021,27.439,10.709
South Africa,ZAF,Africa,2018,21.137,8.765
