Country Name ,Year,Value
South Africa,1950,43.471
South Africa,1951,44.176
South Africa,1952,45.061
South Africa,1953,46.006
South Africa,1954,47.121
South Africa,1955,48.296
South Africa,1956,49.347
South Africa,1957,50.406
South Africa,1958,51.271
South Africa,1959,52.075
South Africa,1960,52.669
South Africa,1961,53.085
South Africa,1962,53.376
South Africa,1963,53.633
South Africa,1964,53.906
South Africa,1965,54.192
South Africa,1966,54.391
South Africa,1967,54.626
South Africa,1968,54.876
South Africa,1969,55.194
South Africa,1970,55.579
South Africa,1971,55.955
South Africa,1972,56.272
South Africa,1973,56.722
South Africa,1974,57.117
South Africa,1975,57.512
South Africa,1976,58.006
South Africa,1977,58.492
South Africa,1978,58.979
South Africa,1979,59.395
South Africa,1980,59.813
South Africa,1981,60.364
South Africa,1982,60.933
South Africa,1983,61.465
South Africa,1984,61.907
South Africa,1985,62.38
South Africa,1986,62.912
South Africa,1987,63.041
South Africa,1988,63.345
South Africa,1989,63.31
South Africa,1990,63.375
South Africa,1991,63.265
South Africa,1992,63.341
South Africa,1993,63.045
South Africa,1994,62.612
South Africa,1995,62.262
South Africa,1996,61.459
South Africa,1997,60.805
South Africa,1998,60.001
South Africa,1999,59.241
South Africa,2000,58.47
South Africa,2001,57.261
South Africa,2002,55.666
South Africa,2003,54.331
South Africa,2004,54.043
South Africa,2005,53.98
South Africa,2006,54.278
South Africa,2007,54.992
South Africa,2008,56.022
South Africa,2009,57.447
South Africa,2010,58.899
South Africa,2011,60.651
South Africa,2012,61.846
South Africa,2013,62.533
South Africa,2014,63.38
South Africa,2015,63.95
South Africa,2016,64.747
South Africa,2017,65.402
South Africa,2018,65.674
South Africa,2019,66.175
South Africa,2020,65.252
South Africa,2021,62.341
China,1950,43.738
China,1951,44.574
China,1952,45.414
China,1953,46.03
China,1954,46.754
China,1955,47.165
China,1956,47.727
China,1957,48.261
China,1958,48.768
China,1959,39.696
China,1960,33.275
China,1961,40.468
China,1962,50.818
China,1963,51.408
China,1964,52.156
China,1965,52.912
China,1966,53.637
China,1967,54.351
China,1968,55.057
China,1969,55.738
China,1970,56.607
China,1971,57.565
China,1972,58.418
China,1973,59.389
China,1974,60.168
China,1975,60.917
China,1976,61.796
China,1977,62.538
China,1978,63.218
China,1979,63.865
China,1980,64.42
China,1981,64.975
China,1982,65.463
China,1983,65.904
China,1984,66.3
China,1985,66.643
China,1986,66.97
China,1987,67.288
China,1988,67.581
China,1989,67.838
China,1990,68.005
China,1991,68.169
China,1992,68.734
China,1993,69.216
China,1994,69.52
China,1995,70.008
China,1996,70.266
China,1997,70.672
China,1998,71.172
China,1999,71.419
China,2000,71.881
China,2001,72.606
China,2002,72.985
China,2003,73.371
China,2004,73.748
China,2005,74.111
China,2006,74.504
China,2007,74.762
China,2008,74.872
China,2009,75.343
China,2010,75.599
China,2011,75.903
China,2012,76.192
China,2013,76.452
China,2014,76.717
China,2015,76.977
China,2016,77.218
China,2017,77.248
China,2018,77.744
China,2019,77.968
China,2020,78.077
China,2021,78.211
Japan,1950,59.232
Japan,1951,60.967
Japan,1952,62.974
Japan,1953,63.303
Japan,1954,64.511
Japan,1955,65.686
Japan,1956,65.534
Japan,1957,65.413
Japan,1958,67.016
Japan,1959,67.429
Japan,1960,67.69
Japan,1961,68.342
Japan,1962,68.638
Japan,1963,69.717
Japan,1964,70.169
Japan,1965,70.231
Japan,1966,71.029
Japan,1967,71.378
Japan,1968,71.649
Japan,1969,71.901
Japan,1970,71.987
Japan,1971,72.808
Japan,1972,73.241
Japan,1973,73.406
Japan,1974,73.834
Japan,1975,74.342
Japan,1976,74.746
Japan,1977,75.311
Japan,1978,75.642
Japan,1979,76.153
Japan,1980,76.126
Japan,1981,76.549
Japan,1982,77.059
Japan,1983,77.096
Japan,1984,77.496
Japan,1985,77.79
Japan,1986,78.204
Japan,1987,78.622
Japan,1988,78.537
Japan,1989,78.971
Japan,1990,78.984
Japan,1991,79.252
Japan,1992,79.292
Japan,1993,79.434
Japan,1994,79.824
Japan,1995,79.67
Japan,1996,80.349
Japan,1997,80.572
Japan,1998,80.64
Japan,1999,80.608
Japan,2000,81.176
Japan,2001,81.509
Japan,2002,81.795
Japan,2003,81.856
Japan,2004,82.131
Japan,2005,82.012
Japan,2006,82.376
