Country,Year,Sex,Age,Value
Åland Islands,2022,Both Sexes,Total,30351.5
Åland Islands,2022,Male,0,729
Åland Islands,2022,Male,5,880
Åland Islands,2022,Male,10,893.5
Åland Islands,2022,Male,15,845
Åland Islands,2022,Male,20,692
Åland Islands,2022,Male,25,762
Åland Islands,2022,Male,30,1033.5
Åland Islands,2022,Male,35,951
Åland Islands,2022,Male,40,982
Åland Islands,2022,Male,45,988
Åland Islands,2022,Male,50,1003
Åland Islands,2022,Male,55,1058
Åland Islands,2022,Male,60,920.5
Åland Islands,2022,Male,65,928.5
Åland Islands,2022,Male,70,886.5
Åland Islands,2022,Male,75,754.5
Åland Islands,2022,Male,80,435
Åland Islands,2022,Male,85,227.5
Åland Islands,2022,Male,90,87
Åland Islands,2022,Male,95,17.5
Åland Islands,2022,Male,100,2
Åland Islands,2022,Female,0,724
Åland Islands,2022,Female,5,858.5
Åland Islands,2022,Female,10,868
Åland Islands,2022,Female,15,780.5
Åland Islands,2022,Female,20,512.5
Åland Islands,2022,Female,25,733.5
Åland Islands,2022,Female,30,941
Åland Islands,2022,Female,35,955.5
Åland Islands,2022,Female,40,948.5
Åland Islands,2022,Female,45,966
Åland Islands,2022,Female,50,1039
Åland Islands,2022,Female,55,1093.5
Åland Islands,2022,Female,60,1023.5
Åland Islands,2022,Female,65,1032
Åland Islands,2022,Female,70,968.5
Åland Islands,2022,Female,75,778.5
Åland Islands,2022,Female,80,490.5
Åland Islands,2022,Female,85,341
Åland Islands,2022,Female,90,153.5
Åland Islands,2022,Female,95,61.5
Åland Islands,2022,Female,100,6
Albania,2022,Both Sexes,Total,2793592
Åland Islands,2021,Male,0,750
Åland Islands,2021,Male,5,888
Åland Islands,2021,Male,10,896.5
Åland Islands,2021,Male,15,817.5
Åland Islands,2021,Male,20,708
Åland Islands,2021,Male,25,816
Åland Islands,2021,Male,30,1008
Åland Islands,2021,Male,35,962.5
Åland Islands,2021,Male,40,951
Åland Islands,2021,Male,45,1009.5
Åland Islands,2021,Male,50,1024
Åland Islands,2021,Male,55,1035.5
Åland Islands,2021,Male,60,895.5
Åland Islands,2021,Male,65,940.5
Åland Islands,2021,Male,70,905
Åland Islands,2021,Male,75,714.5
Åland Islands,2021,Male,80,396.5
Åland Islands,2021,Male,85,220.5
Åland Islands,2021,Male,90,79.5
Åland Islands,2021,Male,95,19
Åland Islands,2021,Male,100,2
Åland Islands,2021,Female,0,730.5
Åland Islands,2021,Female,5,854.5
Åland Islands,2021,Female,10,860
Åland Islands,2021,Female,15,754.5
Åland Islands,2021,Female,20,524
Åland Islands,2021,Female,25,781
Åland Islands,2021,Female,30,940.5
Åland Islands,2021,Female,35,960.5
Åland Islands,2021,Female,40,944
Åland Islands,2021,Female,45,957.5
Åland Islands,2021,Female,50,1066.5
Åland Islands,2021,Female,55,1055
Åland Islands,2021,Female,60,1030.5
Åland Islands,2021,Female,65,1036.5
Åland Islands,2021,Female,70,959
Åland Islands,2021,Female,75,714
Åland Islands,2021,Female,80,480.5
Åland Islands,2021,Female,85,330
Åland Islands,2021,Female,90,159
Åland Islands,2021,Female,95,54.5
Åland Islands,2021,Female,100,6
Andorra,2022,Both Sexes,Total,79535
Albania,2022,Male,0,71489
Albania,2022,Male,5,79844
Albania,2022,Male,10,80976
Albania,2022,Male,15,93320
Albania,2022,Male,20,101815
Albania,2022,Male,25,113768
Albania,2022,Male,30,107410
Albania,2022,Male,35,92423
Albania,2022,Male,40,79527
Albania,2022,Male,45,79573
Albania,2022,Male,50,88662
Albania,2022,Male,55,94545
Albania,2022,Male,60,93899
Albania,2022,Male,65,74520
Albania,2022,Male,70,55131
Albania,2022,Male,75,39208
Albania,2022,Male,80,28192
Albania,2022,Male,85,12758
Albania,2022,Female,0,67002
Albania,2022,Female,5,78734
Albania,2022,Female,10,78043
Albania,2022,Female,15,89877
Albania,2022,Female,20,101448
Albania,2022,Female,25,115124
Albania,2022,Female,30,101817
Albania,2022,Female,35,86038
Albania,2022,Female,40,80438
Albania,2022,Female,45,84767
Albania,2022,Female,50,95716
Albania,2022,Female,55,99274
Albania,2022,Female,60,98838
Albania,2022,Female,65,80184
Albania,2022,Female,70,60328
Albania,2022,Female,75,42784
Albania,2022,Female,80,32848
Albania,2022,Female,85,13272
Argentina,2022,Both Sexes,Total,46234830
Albania,2021,Male,0,73974
Albania,2021,Male,5,81708
Albania,2021,Male,10,83401
Albania,2021,Male,15,96566
Albania,2021,Male,20,109136
Albania,2021,Male,25,117857
Albania,2021,Male,30,108995
Albania,2021,Male,35,91048
Albania,2021,Male,40,78999
Albania,2021,Male,45,81594
Albania,2021,Male,50,90329
Albania,2021,Male,55,97462
Albania,2021,Male,60,92124
Albania,2021,Male,65,72196
Albania,2021,Male,70,54148
Albania,2021,Male,75,40995
Albania,2021,Male,80,27176
Albania,2021,Male,85,12634
Albania,2021,Female,0,69572
Albania,2021,Female,5,80005
Albania,2021,Female,10,79066
Albania,2021,Female,15,92509
Albania,2021,Female,20,109651
Albania,2021,Female,25,117340
Albania,2021,Female,30,99057
Albania,2021,Female,35,85911
Albania,2021,Female,40,80415
Albania,2021,Female,45,87253
Albania,2021,Female,50,97106
Albania,2021,Female,55,101163
Albania,2021,Female,60,96329
Albania,2021,Female,65,77028
Albania,2021,Female,70,58382
Albania,2021,Female,75,44359
Albania,2021,Female,80,30982
Albania,2021,Female,85,13631
Azerbaijan,2022,Both Sexes,Total,10156366
Andorra,2022,Male,0,1270
Andorra,2022,Male,5,1798
Andorra,2022,Male,10,2150
Andorra,2022,Male,15,2158
Andorra,2022,Male,20,2399
Andorra,2022,Male,25,2608
Andorra,2022,Male,30,2799
Andorra,2022,Male,35,2980
Andorra,2022,Male,40,3421
Andorra,2022,Male,45,3773
Andorra,2022,Male,50,3603
Andorra,2022,Male,55,3387
Andorra,2022,Male,60,2687
Andorra,2022,Male,65,1990
Andorra,2022,Male,70,1490
Andorra,2022,Male,75,1072
Andorra,2022,Male,80,582
Andorra,2022,Male,85,352
Andorra,2022,Male,90,163
Andorra,2022,Male,95,49
Andorra,2022,Female,0,1146
Andorra,2022,Female,5,1747
Andorra,2022,Female,10,2084
Andorra,2022,Female,15,1935
Andorra,2022,Female,20,2118
Andorra,2022,Female,25,2187
Andorra,2022,Female,30,2588
Andorra,2022,Female,35,2856
Andorra,2022,Female,40,3433
Andorra,2022,Female,45,3707
Andorra,2022,Female,50,3348
Andorra,2022,Female,55,3139
Andorra,2022,Female,60,2486
Andorra,2022,Female,65,1839
Andorra,2022,Female,70,1448
