Year,PopTotal,Predicted
1950,24993221.57,FALSE
1951,25431303.8,FALSE
1952,25902708.99,FALSE
1953,26402787.97,FALSE
1954,26919793.39,FALSE
1955,27460721.41,FALSE
1956,28010026.31,FALSE
1957,28578668.57,FALSE
1958,29161080.97,FALSE
1959,29702921.88,FALSE
1960,30192334.34,FALSE
1961,30683706.09,FALSE
1962,31266867.43,FALSE
1963,31957792.47,FALSE
1964,32672123.38,FALSE
1965,33371119.83,FALSE
1966,34064170.36,FALSE
1967,34754481.66,FALSE
1968,35468108.08,FALSE
1969,36206552.75,FALSE
1970,36953903.36,FALSE
1971,37701630.92,FALSE
1972,38448008.85,FALSE
1973,39202515.04,FALSE
1974,39955170.77,FALSE
1975,40694372.31,FALSE
1976,41425058.82,FALSE
1977,42157724.9,FALSE
1978,42896577.08,FALSE
1979,43655828.71,FALSE
1980,44440077.06,FALSE
1981,45246276.58,FALSE
1982,46079848.71,FALSE
1983,46918842.38,FALSE
1984,47758360.74,FALSE
1985,48617306.13,FALSE
1986,49500633.39,FALSE
1987,50409844.95,FALSE
1988,51322939.74,FALSE
1989,52237043.08,FALSE
1990,53161758.62,FALSE
1991,54062458.67,FALSE
1992,54926860.93,FALSE
1993,55774335.23,FALSE
1994,56607279.93,FALSE
1995,57432194.54,FALSE
1996,58251452.98,FALSE
1997,59064812.61,FALSE
1998,59873124.8,FALSE
1999,60677584.58,FALSE
2000,61488989.75,FALSE
2001,62307469.82,FALSE
2002,63124073.6,FALSE
2003,63938983.65,FALSE
2004,64757514.78,FALSE
2005,65581761.19,FALSE
2006,66414162.18,FALSE
2007,67259485.44,FALSE
2008,68115972.72,FALSE
2009,68983059.08,FALSE
2010,69856031.05,FALSE
2011,70731254.25,FALSE
2012,71616979.21,FALSE
2013,72505933.7,FALSE
2014,73390134.19,FALSE
2015,74265975.37,FALSE
2016,75134742.38,FALSE
2017,75998224.04,FALSE
2018,76837898.28,FALSE
2019,77649510.32,FALSE
2020,78409528.8,FALSE
2021,79092951.51,FALSE
2022,79751051.56,FALSE
2023,80453114.47,FALSE
2023,80453114.47,TRUE
2024,81188359.99,TRUE
2025,81919884.53,TRUE
2026,82643645.09,TRUE
2027,83359776.71,TRUE
2028,84068287.92,TRUE
2029,84768893.91,TRUE
2030,85461413.27,TRUE
2031,86145327.45,TRUE
2032,86820919.84,TRUE
2033,87487985.42,TRUE
2034,88145751.71,TRUE
2035,88793974.01,TRUE
2036,89432067.02,TRUE
2037,90060263.7,TRUE
2038,90678890.26,TRUE
2039,91286612.15,TRUE
2040,91882504.92,TRUE
2041,92466733,TRUE
2042,93038968.51,TRUE
2043,93598364.2,TRUE
2044,94144084.23,TRUE
2045,94675435.75,TRUE
2046,95191908.04,TRUE
2047,95692978.86,TRUE
2048,96177744.7,TRUE
2049,96645161.46,TRUE
2050,97094917.61,TRUE
2051,97526569.16,TRUE
2052,97941020.43,TRUE
2053,98338611.91,TRUE
2054,98719006.02,TRUE
2055,99083048.69,TRUE
2056,99431232.62,TRUE
2057,99764401.5,TRUE
2058,100083101.1,TRUE
2059,100387058.6,TRUE
2060,100677336.1,TRUE
2061,100955730.6,TRUE
2062,101223076.8,TRUE
2063,101479491.2,TRUE
2064,101725137.8,TRUE
2065,101959649,TRUE
2066,102182730.2,TRUE
2067,102395837.8,TRUE
2068,102598729.9,TRUE
2069,102790748.7,TRUE
2070,102971667.1,TRUE
2071,103141423,TRUE
2072,103300598.5,TRUE
2073,103448914.9,TRUE
2074,103585527.6,TRUE
2075,103709942,TRUE
2076,103821804,TRUE
2077,103920820,TRUE
2078,104007497.5,TRUE
2079,104082669.2,TRUE
2080,104146371.9,TRUE
2081,104198514.9,TRUE
2082,104240229,TRUE
2083,104272264,TRUE
2084,104294474,TRUE
2085,104306791,TRUE
2086,104309262.8,TRUE
2087,104302676.2,TRUE
2088,104288306.3,TRUE
2089,104266011.5,TRUE
2090,104235410.4,TRUE
2091,104196471.3,TRUE
2092,104149598.3,TRUE
2093,104094910.9,TRUE
2094,104032721.5,TRUE
2095,103963058.4,TRUE
2096,103885171.5,TRUE
2097,103798884.5,TRUE
2098,103704452,TRUE
2099,103602693.6,TRUE
2100,103493230.4,TRUE
