Country,Country Code,Year,Population,Area,PopByArea
Ãland Islands,,2022,30351.5,599,50.67028381
Ãland Islands,,2021,30236.5,599,50.47829716
Ãland Islands,,2020,1988582.418,599,3319.837092
Ãland Islands,,2019,1852726,599,3093.03172
Ãland Islands,,2018,138228,599,230.7646077
Ãland Islands,,2017,136879,599,228.5125209
Ãland Islands,,2016,1493,599,2.492487479
Ãland Islands,,2015,101970,599,170.2337229
Albania,ALB,2022,2793592,28748,97.1751774
Albania,ALB,2021,2829741,28748,98.4326214
Albania,ALB,2020,2294339,28748,79.80864756
Albania,ALB,2019,19300,28748,0.671351051
Albania,ALB,2018,21790,28748,0.757965772
Albania,ALB,2017,4278500,28748,148.8277445
Albania,ALB,2016,88829,28748,3.089919299
Albania,ALB,2015,8,28748,0.00027828
Andorra,AND,2022,79535,468,169.9465812
Andorra,AND,2021,78015,468,166.6987179
Andorra,AND,2020,320188,468,684.1623932
Andorra,AND,2019,272769,468,582.8397436
Andorra,AND,2018,48775,468,104.2200855
Andorra,AND,2017,35590,468,76.04700855
Andorra,AND,2016,25477,468,54.43803419
Antigua and Barbuda,ATG,2021,99337,443,224.2370203
Antigua and Barbuda,ATG,2020,9562.471311,443,21.58571402
Antigua and Barbuda,ATG,2019,921671,443,2080.521445
Antigua and Barbuda,ATG,2018,1633478,443,3687.309255
Antigua and Barbuda,ATG,2017,194065,443,438.0699774
Antigua and Barbuda,ATG,2016,110686,443,249.8555305
Antigua and Barbuda,ATG,2015,4,443,0.009029345
Argentina,ARG,2022,46234830,2766890,16.71003545
Argentina,ARG,2021,45808747,2766890,16.55604198
Argentina,ARG,2020,2173321,2766890,0.785474305
Argentina,ARG,2019,10373923,2766890,3.749308068
Argentina,ARG,2018,1627,2766890,0.000588025
Argentina,ARG,2017,4864,2766890,0.00175793
Argentina,ARG,2016,4864,2766890,0.00175793
Argentina,ARG,2015,3279,2766890,0.001185085
Armenia,ARM,2021,2963251,29800,99.43795302
Armenia,ARM,2020,10630059,29800,356.7133893
Armenia,ARM,2019,135921,29800,4.561107383
Armenia,ARM,2018,4262,29800,0.143020134
Armenia,ARM,2017,78352,29800,2.629261745
Armenia,ARM,2016,18605,29800,0.624328859
Armenia,ARM,2015,281154,29800,9.434697987
Aruba,ABW,2021,107694.8249,193,558.0042741
Aruba,ABW,2020,127595.9029,193,661.1186679
Aruba,ABW,2019,973356,193,5043.295337
Aruba,ABW,2018,307391,193,1592.699482
Aruba,ABW,2017,419405,193,2173.082902
Aruba,ABW,2016,20751,193,107.5181347
Aruba,ABW,2015,159193,193,824.8341969
Australia,AUS,2021,25688079,7686850,3.341821292
Australia,AUS,2020,1360208.5,7686850,0.176952653
Australia,AUS,2019,303993,7686850,0.039547149
Australia,AUS,2018,122601,7686850,0.015949446
Australia,AUS,2017,104249,7686850,0.013561992
Australia,AUS,2016,1539599,7686850,0.200289976
Australia,AUS,2015,4793.624081,7686850,0.000623614
Austria,AUT,2020,1417017.141,83870,16.89539932
Austria,AUT,2019,226417,83870,2.699618457
Austria,AUT,2018,78995,83870,0.941874329
Austria,AUT,2017,225479,83870,2.688434482
Austria,AUT,2016,13649.96002,83870,0.162751401
Austria,AUT,2015,21570,83870,0.257183737
Azerbaijan,AZE,2022,10156366,86600,117.2790531
Azerbaijan,AZE,2021,10119133,86600,116.8491109
Azerbaijan,AZE,2020,932.5,86600,0.010767898
Azerbaijan,AZE,2019,107422,86600,1.240438799
Azerbaijan,AZE,2018,1061419,86600,12.25657044
Azerbaijan,AZE,2017,1877437,86600,21.67941109
Azerbaijan,AZE,2016,2229,86600,0.02573903
Azerbaijan,AZE,2015,9,86600,0.000103926
"Bahamas, The",BHS,2019,97345,13940,6.983142037
"Bahamas, The",BHS,2018,100318,13940,7.196413199
"Bahamas, The",BHS,2016,4332,13940,0.310760402
Bahrain,BHR,2020,105147,665,158.1157895
Bahrain,BHR,2019,91566,665,137.6932331
Bahrain,BHR,2018,109945,665,165.3308271
Bahrain,BHR,2017,30174,665,45.37443609
Bahrain,BHR,2016,17135,665,25.76691729
Bahrain,BHR,2015,12,665,0.018045113
Bangladesh,BGD,2022,169828921,144000,1179.367507
Belarus,BLR,2020,3357,207600,0.01617052
Belarus,BLR,2019,3357,207600,0.01617052
Belarus,BLR,2018,176,207600,0.000847784
Belarus,BLR,2017,8266,207600,0.039816956
Belarus,BLR,2016,1914,207600,0.009219653
Belarus,BLR,2015,10102,207600,0.048660886
Belgium,BEL,2022,11617623,30528,380.556309
Belgium,BEL,2019,3246,30528,0.106328616
Belgium,BEL,2018,775480,30528,25.40225367
Belgium,BEL,2017,4450.365037,30528,0.145779777
Belgium,BEL,2016,47102,30528,1.542911426
Belgium,BEL,2015,8509,30528,0.278727725
Bermuda,BMU,2022,64031,53,1208.132075
Bermuda,BMU,2021,64055,53,1208.584906
Bermuda,BMU,2020,1560497,53,29443.33962
Bermuda,BMU,2019,386782,53,7297.773585
Bermuda,BMU,2018,908,53,17.13207547
Bermuda,BMU,2017,35013414,53,660630.4528
Bermuda,BMU,2016,3688.134462,53,69.58744268
Bermuda,BMU,2015,10210.80367,53,192.656673
Bhutan,BTN,2017,1393121,47000,29.64087234
Botswana,BWA,2022,2358613,600370,3.928599031
Brunei Darussalam,BRN,2021,440715,5770,76.38041594
Bulgaria,BGR,2022,6838937,110910,61.66204129
Bulgaria,BGR,2021,6916548,110910,62.36180687
Bulgaria,BGR,2020,247512,110910,2.231647282
Bulgaria,BGR,2019,53737,110910,0.484509963
Bulgaria,BGR,2018,487714,110910,4.397385267
Bulgaria,BGR,2017,170248,110910,1.535010369
Bulgaria,BGR,2016,5207498,110910,46.95246596
Bulgaria,BGR,2015,4853193.475,110910,43.75794315
Burkina Faso,BFA,2019,4141.24575,274200,0.015103011
Côte d'Ivoire,CIV,2021,16781,322460,0.052040563
Cabo Verde,CPV,2021,491233,1557,315.4996789
Cambodia,KHM,2019,3374.350206,69898,0.048275347
Canada,CAN,2022,38929902,9984670,3.898967317
Canada,CAN,2021,36991980,9984670,3.704877577
Canada,CAN,2020,3941.411662,9984670,0.000394746
Canada,CAN,2019,798988,9984670,0.080021473
Canada,CAN,2018,239214,9984670,0.023958128
Canada,CAN,2017,226230,9984670,0.022657734
Canada,CAN,2016,151793,9984670,0.015202606
Canada,CAN,2015,156710,9984670,0.015695061
Cayman Islands,CYM,2021,904690,262,3453.015267
Cayman Islands,CYM,2020,383275,262,1462.881679
Cayman Islands,CYM,2019,283167,262,1080.790076
Cayman Islands,CYM,2017,2439,262,9.309160305
Cayman Islands,CYM,2016,20662,262,78.86259542
Cayman Islands,CYM,2015,11353,262,43.33206107
Chile,CHL,2022,976240,756950,1.289702094
Chile,CHL,2021,808991,756950,1.068750908
Chile,CHL,2020,27,756950,3.56695E-05
Chile,CHL,2019,1,756950,1.32109E-06
Chile,CHL,2018,128,756950,0.0001691
Chile,CHL,2017,124617,756950,0.164630425
Chile,CHL,2016,124617,756950,0.164630425
Chile,CHL,2015,1,756950,1.32109E-06
"Hong Kong SAR, China",HKG,2022,827115,1092,757.4313187
"Hong Kong SAR, China",HKG,2021,7346100,1092,6727.197802
"Hong Kong SAR, China",HKG,2020,3198.5,1092,2.929029304
"Hong Kong SAR, China",HKG,2019,257454,1092,235.7637363
"Hong Kong SAR, China",HKG,2018,144615,1092,132.4313187
"Hong Kong SAR, China",HKG,2017,2281276,1092,2089.080586
"Hong Kong SAR, China",HKG,2016,2281276,1092,2089.080586
"Hong Kong SAR, China",HKG,2015,626222,1092,573.46337
"Macao SAR, China",MAC,2022,164700,28,5882.142857
"Macao SAR, China",MAC,2021,243900,28,8710.714286
"Macao SAR, China",MAC,2020,947,28,33.82142857
"Macao SAR, China",MAC,2019,134891,28,4817.535714
"Macao SAR, China",MAC,2018,5457873,28,194924.0357
"Macao SAR, China",MAC,2016,512925,28,18318.75
"Macao SAR, China",MAC,2015,605380,28,21620.71429
Colombia,COL,2018,100406,1138910,0.088159732
Cook Islands,,2016,392865,91,4317.197802
Costa Rica,CRI,2022,30900,19730,1.56614293
Costa Rica,CRI,2021,20800,19730,1.054232134
Costa Rica,CRI,2020,90681,19730,4.596097314
