Country Name,Country Code,2015,2016,2017,2018,2019,2020,2021,Area
Aruba,ABW,104339,104865,105361,105846,106310,106766,107195,193
Afghanistan,AFG,34413603,35383028,36296111,37171922,38041757,38928341,39835428,252072
Angola,AGO,27884380,28842482,29816769,30809787,31825299,32866268,33933611,1246700
Albania,ALB,2880703,2876101,2873457,2866376,2854191,2837849,2811666,28748
Andorra,AND,77993,77295,76997,77008,77146,77265,77354,468
Arab World,ARB,396028301,404042892,411942825,419851989,427870273,436080728,444517783,5000000
United Arab Emirates,ARE,9262896,9360975,9487206,9630966,9770526,9890400,9991083,82880
Argentina,ARG,43131966,43590368,44044811,44494502,44938712,45376763,45808747,2766890
Armenia,ARM,2925559,2936147,2944789,2951741,2957728,2963234,2968128,29800
American Samoa,ASM,55806,55739,55617,55461,55312,55197,55103,76.8
Antigua and Barbuda,ATG,93571,94520,95425,96282,97115,97928,98728,443
Australia,AUS,23815995,24190907,24601860,24982688,25365745,25693267,25739256,7686850
Austria,AUT,8642699,8736668,8797566,8840521,8879920,8916864,8956279,83870
Azerbaijan,AZE,9649341,9757812,9854033,9939771,10024283,10093121,10145212,86600
Burundi,BDI,10160034,10488002,10827010,11175379,11530577,11890781,12255429,27830
Belgium,BEL,11274196,11331422,11375158,11427054,11488980,11544241,11587882,30528
Benin,BEN,10575962,10872072,11175192,11485035,11801151,12123198,12451031,112620
Burkina Faso,BFA,18110616,18646350,19193236,19751466,20321383,20903278,21497097,274200
Bangladesh,BGD,156256287,157977151,159685421,161376713,163046173,164689383,166303494,144000
Bulgaria,BGR,7177991,7127822,7075947,7025037,6975761,6934015,6899125,110910
Bahrain,BHR,1371853,1425793,1494077,1569440,1641164,1701583,1748295,665
"Bahamas, The",BHS,374200,377923,381749,385635,389486,393248,396914,13940
Bosnia and Herzegovina,BIH,3429362,3386263,3351534,3323929,3300998,3280815,3263459,19768
Belarus,BLR,9461076,9469379,9458989,9438785,9419758,9379952,9340314,207600
Belize,BLZ,360926,368399,375775,383071,390351,397621,404915,8867
Bermuda,BMU,65237,64554,63873,63918,63911,63893,63867,53
Bolivia,BOL,10869732,11031822,11192853,11353140,11513102,11673029,11832936,426164
Brazil,BRA,204471759,206163056,207833825,209469320,211049519,212559409,213993441,8511965
Barbados,BRB,285327,285798,286229,286640,287021,287371,287708,169
Brunei Darussalam,BRN,414914,419791,424481,428960,433296,437483,441532,5770
Bhutan,BTN,727885,736706,745563,754396,763094,771612,779900,47000
Botswana,BWA,2120716,2159925,2205076,2254067,2303703,2351625,2397240,600370
Central African Republic,CAF,4493171,4537683,4596023,4666375,4745179,4829764,4919987,233000
Canada,CAN,35702908,36109487,36545236,37065084,37601230,38037204,38246108,9984670
Switzerland,CHE,8282396,8373338,8451840,8514329,8575280,8636561,8697723,15941
Channel Islands,CHI,165387,166922,168666,170496,172264,173859,175244,346
Chile,CHL,17969356,18209072,18470435,18729166,18952035,19116209,19212362,756950
China,CHN,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,9596960
Cote d'Ivoire,CIV,23226148,23822726,24437475,25069226,25716554,26378275,27053629,128364
Cameroon,CMR,23298376,23926549,24566070,25216261,25876387,26545864,27224262,183570
"Congo, Dem. Rep.",COD,76244532,78789130,81398765,84068092,86790568,89561404,92377986,905600
"Congo, Rep.",COG,4856093,4980996,5110701,5244363,5380504,5518092,5657017,905600
Colombia,COL,47520667,48175048,48909844,49661056,50339443,50882884,51265841,1138910
Comoros,COM,777435,795597,813890,832322,850891,869595,888456,2170
Cabo Verde,CPV,524740,531140,537499,543764,549936,555988,561901,1557
Costa Rica,CRI,4847805,4899336,4949955,4999443,5047561,5094114,5139053,19730
Caribbean small states,CSS,7222197,7269385,7314956,7358929,7401389,7442291,7481631,390
Cuba,CUB,11324777,11335108,11339255,11338146,11333484,11326616,11317498,110860
Curacao,CUW,157980,159664,160175,159336,157441,154947,152369,171.4
Cayman Islands,CYM,61721,62564,63382,64172,64948,65720,66498,262
Cyprus,CYP,1160987,1170189,1179685,1189262,1198574,1207361,1215588,9250
Czech Republic,CZE,10546059,10566332,10594438,10629928,10671870,10697858,10703446,30451
Germany,DEU,81686611,82348669,82657002,82905782,83092962,83160871,83129285,137847
Djibouti,DJI,913998,929117,944100,958923,973557,988002,1002197,23000
Dominica,DMA,71175,71307,71460,71626,71808,71991,72172,754
Denmark,DNK,5683483,5728010,5764980,5793636,5814422,5831404,5856733,43094
Dominican Republic,DOM,10281675,10397738,10513111,10627147,10738957,10847904,10953714,18704
Algeria,DZA,39728020,40551398,41389174,42228415,43053054,43851043,44616626,919600
Ecuador,ECU,16212022,16491116,16785356,17084359,17373657,17643060,17888474,283560
"Egypt, Arab Rep.",EGY,92442549,94447071,96442590,98423602,100388076,102334403,104258327,390121
Eritrea,ERI,,,,,,,,121320
Spain,ESP,46444832,46484062,46593236,46797754,47134837,47363419,47326687,195365
Estonia,EST,1315407,1315790,1317384,1321977,1326855,1329479,1329254,45226
Ethiopia,ETH,100835453,103603461,106399926,109224410,112078727,114963583,117876226,1127127
Finland,FIN,5479531,5495303,5508214,5515525,5521606,5529543,5541696,338145
Fiji,FJI,868632,872406,877460,883490,889955,896444,902899,18270
France,FRA,66548272,66724104,66918020,67101930,67248926,67379908,67499343,547030
Faroe Islands,FRO,48055,48173,48326,48497,48677,48865,49053,1399
"Micronesia, Fed. Sts.",FSM,108886,110215,111461,112640,113811,115021,116255,271
Gabon,GAB,1947690,2007882,2064812,2119275,2172578,2225728,2278829,267667
United Kingdom,GBR,65116219,65611593,66058859,66460344,66836327,67081000,67326569,244820
Georgia,GEO,3725276,3727505,3728004,3726549,3720161,3722716,3708610,69700
Ghana,GHA,27849203,28481947,29121464,29767108,30417858,31072945,31732128,239460
Gibraltar,GIB,33742,33738,33723,33715,33706,33691,33691,7
Guinea,GIN,11432096,11738434,12067516,12414292,12771246,13132792,13497237,245857
"Gambia, The",GMB,2085860,2149134,2213900,2280092,2347696,2416664,2486937,11300
Guinea-Bissau,GNB,1737207,1782434,1828146,1874304,1920917,1967998,2015490,36120
Equatorial Guinea,GNQ,1168575,1215181,1262008,1308966,1355982,1402985,1449891,10831
Greece,GRC,10820883,10775971,10754679,10732882,10721582,10700556,10664568,131940
Grenada,GRD,109603,110263,110874,111449,112002,112519,113015,134.6
Greenland,GRL,56114,56186,56171,56023,56225,56367,56653,2166086
Guatemala,GTM,15567419,15827690,16087418,16346950,16604026,16858333,17109746,108890
Guam,GUM,161851,162948,164281,165770,167295,168783,170184,541
Guyana,GUY,767433,771363,775218,779007,782775,786559,790329,214970
"Hong Kong SAR, China",HKG,7291300,7336600,7393200,7452600,7507900,7481000,7413100,1092
Honduras,HND,9112904,9270794,9429016,9587523,9746115,9904608,10062994,112090
Croatia,HRV,4203604,4174349,4124531,4087843,4065253,4047680,3899000,56542
Haiti,HTI,10695540,10839976,10982367,11123183,11263079,11402533,11541683,10714
Hungary,HUN,9843028,9814023,9787966,9775564,9771141,9750149,9709886,93030
Indonesia,IDN,258383257,261556386,264650969,267670549,270625567,273523621,276361788,1919440
Isle of Man,IMN,83232,83296,83610,84073,84589,85032,85410,572
India,IND,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385,1393409033,3287590
Ireland,IRL,4701957,4755335,4807388,4867316,4934340,4985674,5028230,103000
"Iran, Islamic Rep.",IRN,78492208,79563991,80673888,81800204,82913893,83992953,85028760,164000000
Iraq,IRQ,35572269,36610632,37552789,38433604,39309789,40222503,41179351,437072
Iceland,ISL,330815,335439,343400,352721,360563,366463,372295,70280
Israel,ISR,8380100,8546000,8713300,8882800,9054000,9215100,9364000,20770
Italy,ITA,60730582,60627498,60536709,60421760,59729081,59449527,59066225,301230
Jamaica,JAM,2891024,2906242,2920848,2934853,2948277,2961161,2973462,10991
Jordan,JOR,9266573,9554286,9785840,9965322,10101697,10203140,10269022,92300
Japan,JPN,127141000,127076000,126972000,126811000,126633000,126261000,125681593,377835
Kazakhstan,KAZ,17542806,17794055,18037776,18276452,18513673,18755666,19002586,2717300
Kenya,KEN,47878339,49051531,50221146,51392570,52573967,53771300,54985702,582650
Kyrgyz Republic,KGZ,5956900,6079500,6198200,6322800,6456200,6579900,6694200,77199
Cambodia,KHM,15521435,15766290,16009413,16249795,16486542,16718971,16946446,60898
Kiribati,KIR,110927,112529,114153,115842,117608,119446,121388,811
St. Kitts and Nevis,KNA,51204,51629,52036,52438,52834,53192,53546,104
South Korea,KOR,51014947,51217803,51361911,51585058,51764822,51836239,51744876,38691.3
Kuwait,KWT,3835588,3956862,4056102,4137314,4207077,4270563,4328553,6880
Laos,LAO,6741160,6845848,6953031,7061498,7169456,7275556,7379358,91429
Lebanon,LBN,6532681,6714281,6819373,6859408,6855709,6825442,6769151,10400
Liberia,LBR,4472229,4586788,4702224,4818976,4937374,5057677,5180208,111370
Libya,LBY,6418315,6492160,6580723,6678565,6777453,6871287,6958538,1759540
St. Lucia,LCA,179131,180028,180955,181890,182795,183629,184401,238
Latin America & Caribbean,LCN,622301041,628493594,634566052,640483827,646431661,652365260,658089208,7412000
Liechtenstein,LIE,37465,37655,37805,37918,38020,38137,38254,62
Sri Lanka,LKA,20970000,21203000,21444000,21670000,21803000,21919000,22156000,25332
Lesotho,LSO,2059011,2075041,2091532,2108327,2125267,2142252,2159067,11720
Lithuania,LTU,2904910,2868231,2828403,2801543,2794137,2794885,2795321,65200
Luxembourg,LUX,569604,582014,596336,607950,620001,630419,639070,2586
Latvia,LVA,1977527,1959537,1942248,1927174,1913822,1900449,1883162,24926
"Macao SAR, China",MAC,602093,612824,622578,631633,640446,649342,658391,28
St. Martin (French part),MAF,35865,36061,36569,37264,38002,38659,39239,34
Morocco,MAR,34663608,35126274,35581257,36029089,36471766,36910558,37344787,446550
Monaco,MCO,37723,38070,38392,38682,38967,39244,39520,2
Moldova,MDA,2834530,2802170,2755158,2708214,2664974,2620495,2573928,33843
Madagascar,MDG,24234080,24894370,25570511,26262313,26969306,27691019,28427333,587040
Maldives,MDV,454914,475505,496398,515704,530957,540542,543620,115
Mexico,MEX,121858251,123333379,124777326,126190782,127575529,128932753,130262220,1972550
Marshall Islands,MHL,57444,57723,58053,58412,58791,59194,59618,70
North Macedonia,MKD,2070226,2072490,2074502,2076217,2076694,2072531,2065092,9927.8
Mali,MLI,17438772,17965448,18512429,19077755,19658023,20250834,20855724,478800
Malta,MLT,445053,455356,467999,484630,504062,515332,516869,316
Myanmar,MMR,52680724,53045199,53382521,53708318,54045422,54409794,54806014,261228
Montenegro,MNE,622159,622303,622373,622227,622028,621306,620173,5332
Mongolia,MNG,2998433,3056358,3113788,3170214,3225166,3278292,3329282,1564116
Northern Mariana Islands,MNP,55779,56187,56553,56889,57213,57557,57910,477
Mozambique,MOZ,27042001,27829930,28649007,29496009,30366043,31255435,32163045,801590
Mauritania,MRT,4046304,4163532,4282582,4403312,4525698,4649660,4775110,398000
Mauritius,MUS,1262605,1263473,1264613,1265303,1265711,1265740,1266060,2040
